LOCATION,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD
1,3275,3117,3485,3522,2779,3076,,,,,,,19254
2,1893,1458,1360,1501,1289,1609,,,,,,,9110
3,1951,1877,2029,2030,1829,1832,,,,,,,11548
4,1542,1383,1583,1562,1482,1733,,,,,,,9285
5,1683,1721,1809,1735,1552,1610,,,,,,,10110
6,3272,3296,3529,3633,3239,3518,,,,,,,20487
7,2061,2145,2112,2364,2189,2263,,,,,,,13134
8,1964,2149,2333,2179,2076,2106,,,,,,,12807
9,2801,2597,2740,3054,2272,2751,,,,,,,16215
10,1835,1529,1805,1909,1844,2068,,,,,,,10990
11,1328,1298,1497,1501,1275,1553,,,,,,,8452
12,1548,1566,1715,1839,1424,1694,,,,,,,9786
13,1539,1651,1805,1694,1566,1879,,,,,,,10134
14,1692,1660,1714,1749,1523,1831,,,,,,,10169
15,1015,908,908,907,883,860,,,,,,,5481
16,1345,1338,1432,1410,1280,1285,,,,,,,8090
17,1756,1412,1707,1782,1509,1941,,,,,,,10107
18,3249,3340,3852,4184,3501,4255,,,,,,,22381
19,1178,1184,1162,1114,1065,1018,,,,,,,6721
20,2725,2563,2855,2785,2615,2881,,,,,,,16424
21,1784,1762,1629,1695,1485,1658,,,,,,,10013
22,3987,3705,4268,3966,3395,4101,,,,,,,23422
23,2012,626,2096,2164,1747,1866,,,,,,,10511
24,1640,1672,1905,1678,1730,1974,,,,,,,10599
25,868,928,1019,928,908,1012,,,,,,,5663
26,4347,4223,4579,4715,4508,4989,,,,,,,27361
27,827,826,914,962,741,1008,,,,,,,5278
28,0,0,0,0,0,0,,,,,,,0
29,1243,1073,1156,1244,1061,1087,,,,,,,6864
30,2089,1935,2142,2219,1876,2304,,,,,,,12565
31,1577,1486,1522,1752,1713,1735,,,,,,,9785
32,25824,24903,27381,27870,25735,27354,,,,,,,159067
33,856,785,900,880,799,867,,,,,,,5087
34,2209,2456,2487,2553,2311,2363,,,,,,,14379
35,0,0,0,0,0,0,,,,,,,0
36,1761,1735,1768,1812,1649,1808,,,,,,,10533
37,1198,1130,1273,1228,1184,1371,,,,,,,7384
38,1103,1088,1141,1229,1134,1395,,,,,,,7090
39,2051,1918,2145,2111,2057,2326,,,,,,,12608
40,2624,2493,2555,2434,2320,2347,,,,,,,14773
41,1662,1559,1728,1689,1635,1756,,,,,,,10029
42,1635,1587,1880,2022,1871,1887,,,,,,,10882
43,3366,3331,3406,3709,3307,3683,,,,,,,20802
44,2407,2214,2486,2606,2203,2448,,,,,,,14364
45,3335,3344,3687,3521,3167,3227,,,,,,,20281
46,1942,1954,1997,1920,1780,2173,,,,,,,11766
47,1294,1418,1305,1394,1251,1515,,,,,,,8177
48,1415,1378,1532,1409,1257,1469,,,,,,,8460
49,1611,1586,1705,1607,1377,1523,,,,,,,9409
50,1090,975,1225,1222,1031,1088,,,,,,,6631
51,1853,1822,2150,2129,2003,2256,,,,,,,12213
52,2102,2076,1932,2094,1703,1956,,,,,,,11863
53,1498,1448,1426,1663,1366,1641,,,,,,,9042
54,1848,1810,1972,2127,1917,1580,,,,,,,11254
55,830,754,836,808,800,764,,,,,,,4792
56,1848,1879,2135,2091,1886,1981,,,,,,,11820
57,2009,1762,1900,1741,1692,1839,,,,,,,10943
58,735,639,808,795,664,737,,,,,,,4378
59,3035,2993,3493,3433,2793,3627,,,,,,,19374
60,1554,1502,1509,1461,1445,1718,,,,,,,9189
61,1282,1220,1349,1356,1252,1349,,,,,,,7808
62,1895,1663,1685,1692,1626,1590,,,,,,,10151
63,2499,2082,2321,2346,2396,2484,,,,,,,14128
64,2622,2671,3095,3140,2851,3486,,,,,,,17865
65,7896,7739,8257,8305,8350,8470,,,,,,,49017
66,3173,2869,3123,3536,2871,3143,,,,,,,18715
67,2910,2720,2809,2836,2245,2704,,,,,,,16224
68,2160,2156,2395,2474,2174,2456,,,,,,,13815
69,1801,1851,2038,1832,1652,1849,,,,,,,11023
70,972,975,948,1044,949,863,,,,,,,5751
71,1716,1657,1952,2156,1770,2204,,,,,,,11455
72,2116,1984,1971,1958,1924,2166,,,,,,,12119
73,2497,2282,2613,2795,2577,2629,,,,,,,15393
74,1763,1773,2094,2242,1641,1867,,,,,,,11380
75,2864,2830,2806,2870,2567,2984,,,,,,,16921
76,2584,2329,2461,2486,2028,2496,,,,,,,14384
77,2681,2652,2831,2851,2515,2859,,,,,,,16389
78,10292,9536,10676,10447,9882,10198,,,,,,,61031
79,1701,1430,1716,1580,1522,1735,,,,,,,9684
