LOCATION,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD
1,11735,10593,12368,12556,10915,15341,,,,,,,73508
2,5335,5034,4529,4471,3880,4431,,,,,,,27680
3,8375,9079,10522,9747,8714,9567,,,,,,,56004
4,5849,5190,5691,6313,6092,7489,,,,,,,36624
5,8726,9201,10017,10010,8346,9571,,,,,,,55871
6,8835,8984,8993,9729,9201,9755,,,,,,,55497
7,4871,5896,5552,6453,5713,5487,,,,,,,33972
8,6813,7666,7943,7639,7568,7814,,,,,,,45443
9,10658,10329,11799,11849,9770,11750,,,,,,,66155
10,8355,7777,8607,9328,7925,9337,,,,,,,51329
11,3224,3254,4858,3887,3518,4131,,,,,,,22872
12,5393,5511,6932,5978,5377,8074,,,,,,,37265
13,9091,9391,14279,10746,8926,9676,,,,,,,62109
14,9835,9606,12417,9918,9437,10484,,,,,,,61697
15,3108,2930,3357,3228,3246,3993,,,,,,,19862
16,5885,6277,7171,5845,5440,7285,,,,,,,37903
17,4911,5402,5998,5886,5150,5562,,,,,,,32909
18,20813,21456,26759,24998,23675,27176,,,,,,,144877
19,5654,6284,7152,6088,5401,6105,,,,,,,36684
20,4561,4506,7124,6613,6502,8381,,,,,,,37687
21,6451,6408,7087,6683,5968,6915,,,,,,,39512
22,9432,7359,8116,7239,7027,8511,,,,,,,47684
23,7879,690,8413,7481,6717,7861,,,,,,,39041
24,9014,9866,11584,9999,11549,13243,,,,,,,65255
25,7207,7613,8594,7921,7102,9140,,,,,,,47577
26,15728,15687,21129,16645,15729,18888,,,,,,,103806
27,3050,3077,3335,3441,3050,3661,,,,,,,19614
28,1742,1704,1789,1892,1694,2005,,,,,,,10826
29,5446,5707,7949,6199,5410,7203,,,,,,,37914
30,3350,3225,3264,3220,2799,2911,,,,,,,18769
31,5059,4888,4780,5185,4842,5070,,,,,,,29824
32,119814,115243,132169,124196,108962,103942,,,,,,,704326
33,4318,4354,4738,4747,4316,5287,,,,,,,27760
34,6229,7246,10364,7671,6750,8053,,,,,,,46313
35,0,0,0,0,0,0,,,,,,,0
36,6882,7316,7587,8056,7300,9050,,,,,,,46191
37,5704,5566,6606,4906,5219,5603,,,,,,,33604
38,4723,4485,4636,4975,4674,7989,,,,,,,31482
39,5693,5542,6687,5649,5315,6532,,,,,,,35418
40,7306,7487,8923,6840,6565,7386,,,,,,,44507
41,12315,11279,13391,13033,10985,14724,,,,,,,75727
42,8992,9707,15502,10141,8842,10700,,,,,,,63884
43,10489,10162,10106,11208,9613,11352,,,,,,,62930
44,11350,11340,12123,12851,10875,12681,,,,,,,71220
45,11737,11462,13686,12609,10865,13198,,,,,,,73557
46,8734,8949,7679,7928,7603,8412,,,,,,,49305
47,5123,5167,5896,5454,4903,5243,,,,,,,31786
48,6617,5459,6036,6206,5717,6757,,,,,,,36792
49,8530,8636,12464,9988,7972,9093,,,,,,,56683
50,5777,6277,6474,7216,6166,7073,,,,,,,38983
51,10714,10689,11376,12596,11040,12556,,,,,,,68971
52,4964,5036,5035,6487,4499,5330,,,,,,,31351
53,4822,4904,4822,5433,4736,6276,,,,,,,30993
54,8749,8959,10343,10243,9896,9580,,,,,,,57770
55,6462,6909,7305,6646,6279,7198,,,,,,,40799
56,6126,6972,9789,7206,6160,7016,,,,,,,43269
57,4754,4711,5472,7741,6802,5463,,,,,,,34943
58,4543,4930,11517,4934,4497,6092,,,,,,,36513
59,12062,13147,15392,14903,12221,16718,,,,,,,84443
60,5162,6118,7187,7285,6525,8479,,,,,,,40756
61,4696,4680,5368,5078,4508,5288,,,,,,,29618
62,4691,4303,4869,5179,5045,5551,,,,,,,29638
63,8120,7580,8453,8093,7378,6077,,,,,,,45701
64,6934,7285,9158,8948,8341,9815,,,,,,,50481
65,36296,31982,34038,35273,30836,35731,,,,,,,204156
66,7517,7635,7766,8433,6798,8478,,,,,,,46627
67,8042,7657,9049,9196,7505,9911,,,,,,,51360
68,10794,10730,11686,11822,10520,11260,,,,,,,66812
69,5816,6545,7578,6469,5746,6894,,,,,,,39048
70,5086,4462,5888,5600,4999,4657,,,,,,,30692
71,7710,8273,11287,8034,6784,8069,,,,,,,50157
72,6488,2993,2486,2227,2220,2851,,,,,,,19265
73,9417,8036,9812,9876,9026,9027,,,,,,,55194
74,5930,6227,7947,6491,5492,6957,,,,,,,39044
75,6766,6344,7757,6950,5677,6636,,,,,,,40130
76,10505,10322,11844,10361,8949,10115,,,,,,,62096
77,6080,7600,7670,9486,6658,7350,,,,,,,44844
78,27542,25959,29356,27623,24923,25565,,,,,,,160968
79,3954,5033,3406,4703,4877,4865,,,,,,,26838
